slot,group,id,title,label,tags,position,related_ailment,related_ability,level,class,reroll_chance,extra_info,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8
Gloves,Critical Strike Avoidance,97,Critical Strike Avoidance And Added Dodge Rating,"Critical Strike Avoidance (Added)
Dodge Rating (Added)","Dodge,Damage Avoidance,Critical",Suffix,,,36,,30.0,,"5% To 9%
15 To 24","10% To 14%
25 To 35","15% To 19%
36 To 48","20% To 24%
49 To 61","25% To 37%
62 To 80","46% To 60%
95 To 125","61% To 75%
126 To 170","100%
300 To 360"
Gloves,Minion,945,Minion Area And Damage,"Increased Area For Minion Area Skills (Added)
Minion Damage (Increased)","Minion,Area",Prefix,,,46,,70.0,,"6% To 7%
5% To 10%","8% To 9%
11% To 18%","10% To 12%
20% To 27%","13% To 15%
28% To 35%","16% To 18%
36% To 50%","23% To 27%
65% To 80%","28% To 33%
81% To 105%","55% To 65%
175% To 210%"
Gloves,Minion,26,Minion Damage,Minion Damage (Increased),Minion,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Gloves,Minion,70,Minion Health,Minion Health (Increased),"Health,Minion",Prefix,,,6,"Primalist,Acolyte,Non-Specific",40.0,,15% To 35%,36% To 55%,56% To 75%,76% To 100%,101% To 150%,190% To 230%,231% To 300%,500% To 600%
Gloves,Ailments,14,Freeze Rate Multiplier And Cold Resistance,"Freeze Rate Multiplier (Added)
Cold Resistance (Added)","Resistance,Freeze,Negative Ailment,Cold",Prefix,,,15,,0.0,,"20% To 40%
5%","41% To 65%
6%","66% To 100%
7%","101% To 140%
8%","141% To 180%
9% To 10%","220% To 270%
12% To 14%","271% To 350%
15% To 18%","560% To 700%
29% To 36%"
Gloves,Ailments,429,Chance To Apply Frailty On Hit,Chance To Apply Frailty On Hit (Added),,Suffix,Frailty,,25,,0.0,,12% To 15%,16% To 19%,20% To 23%,24% To 27%,28% To 35%,44% To 55%,56% To 70%,112% To 140%
Gloves,Ailments,86,Chance To Shred Armor On Hit,Chance To Shred Armor On Hit (Added),"Armour,Defence Reduction",Suffix,Shred Armor,,27,,50.0,,20% To 30%,31% To 40%,41% To 55%,56% To 70%,71% To 100%,125% To 150%,151% To 200%,320% To 400%
Gloves,Personal,767,Mirage Champion'S,"Dodge Rating (Added)
Maximum Shadows (Added)",Dodge,Prefix,,Create Shadow,1,,0.0,Exclusive To Items Dropped By Champions,"25 To 35
1","36 To 52
1","53 To 70
1","71 To 90
1","91 To 115
1","135 To 160
1","161 To 200
1","320 To 400
2"
Gloves,Personal,775,Venomous Champion'S,"Chance To Apply Poison On Hit (Added)
Enemies Pierced With Multishot (Added)","Damaging Ailment,Poison,Damage Over Time",Prefix,Poison,Multishot,1,,0.0,Exclusive To Items Dropped By Champions,"10% To 11%
1","12% To 14%
1","15% To 17%
1","18% To 21%
1","22% To 27%
1","35% To 44%
2","45% To 55%
3","88% To 110%
5"
Gloves,Experimental,710,Experimental Armor Applies To Damage Over Time,"Armor Mitigation Also Applies To Damage Over Time (Added)
Armor (Added)","Armour,Damage Over Time",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"9%
30 To 39","10% To 11%
40 To 50","12% To 13%
51 To 63","14% To 15%
64 To 79","16% To 18%
80 To 100","21% To 25%
135 To 174","26% To 30%
175 To 225","45% To 50%
360 To 450"
Gloves,Experimental,674,Experimental Dodge Rating And Endurance Threshold,"Dodge Rating (Added)
Endurance Threshold If You Have Not Been Hit Recently (Added)","Dodge,Endurance",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"20 To 27
30 To 50","28 To 35
51 To 76","36 To 45
77 To 105","46 To 56
106 To 140","57 To 80
141 To 200","95 To 130
230 To 300","131 To 170
301 To 400","272 To 340
640 To 800"
Gloves,Experimental,673,Experimental Ward On Kill,"Ward Gain On Kill (Added)
Ward Decay Threshold (Added)","Ward,Recovery",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"4 To 5
40 To 50","6 To 7
51 To 67","8 To 10
68 To 90","11 To 14
91 To 120","15 To 20
121 To 160","25 To 30
200 To 245","31 To 38
246 To 310","61 To 76
496 To 620"
Gloves,Experimental,675,Experimental Ward Per Missing Health,"Current Health Lost Per Second (Added)
Missing Health Gained As Ward Per Second (Added)","Health,Ward,Regeneration",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"4%
4%","5%
5%","6% To 7%
6% To 7%","8% To 9%
8% To 9%","10% To 12%
10% To 12%","14% To 16%
14% To 16%","17% To 20%
17% To 20%","25% To 30%
25% To 30%"
Gloves,Set,805,Lich'S Envy Reforged,"Spell Fire Damage For Infernal Shade Per Active Dread Shade (Added)
Increased Area For Infernal Shade Per Active Dread Shade (Added)","Fire,Spell,Area",Prefix,,"Dread Shade,Infernal Shade",1,,,An Item With This Affix Counts As A Substitute For Lich'S Envy For The Purpose Of Getting The Set Bonus,"2 To 3
4% To 7%","4 To 5
8% To 11%","6 To 7
12% To 15%","8 To 9
16% To 19%","10 To 12
20% To 24%","16 To 19
33% To 39%","20 To 24
40% To 48%","38 To 48
77% To 96%"
Gloves,Set,822,Zerrick'S Greed Reforged,"Damage Over Time (Increased)
Damage Leeched As Health On Crit (Added)","Health,Damage Over Time",Prefix,,,1,,,An Item With This Affix Counts As A Substitute For Zerrick'S Greed For The Purpose Of Getting The Set Bonus,"10% To 19%
0.1%","20% To 29%
0.1%","30% To 39%
0.1%","40% To 49%
0.1%","50% To 60%
0.2%","80% To 99%
0.3%","100% To 130%
0.4%","208% To 260%
0.6% To 0.8%"
Gloves,Set,800,Isadora'S Gravechill Reforged,"Health (Added)
Cold Spell Damage (Added)","Health,Cold,Spell",Suffix,,,1,,,An Item With This Affix Counts As A Substitute For Isadora'S Gravechill For The Purpose Of Getting The Set Bonus,"4 To 9
1","10 To 16
2","17 To 24
3","25 To 32
4","33 To 40
5","60 To 69
6 To 7","70 To 82
8 To 10","125 To 148
12 To 15"
Gloves,Set,804,The Last Bear'S Fury Reforged,"Increased Health Regen Per Point Of Strength (Added)
Physical Melee Damage (Increased)","Attribute,Strength,Health,Regeneration,Physical,Melee",Suffix,,,1,,,An Item With This Affix Counts As A Substitute For The Last Bear'S Fury For The Purpose Of Getting The Set Bonus,"1%
10% To 13%","1%
14% To 17%","1%
18% To 22%","1%
23% To 28%","1%
29% To 35%","2%
40% To 55%","3%
56% To 75%","5%
120% To 150%"
Belt,Throwing,88,Throwing Damage,Throwing Damage (Added),Throwing,Prefix,,,1,"Sentinel,Rogue,Non-Specific",20.0,,2 To 4,5 To 7,8 To 10,11 To 14,15 To 20,25 To 30,31 To 37,50 To 65
Belt,Damage Type,16,Cold Damage,Cold Damage (Increased),Cold,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Damage Type,100,Elemental Damage Over Time,Elemental Damage Over Time (Increased),"Elemental,Damage Over Time",Prefix,,,50,,70.0,,10% To 20%,21% To 35%,36% To 50%,51% To 70%,71% To 110%,140% To 170%,171% To 220%,352% To 440%
Belt,Damage Type,12,Fire Damage,Fire Damage (Increased),Fire,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Damage Type,23,Lightning Damage,Lightning Damage (Increased),Lightning,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Damage Type,18,Necrotic Damage,Necrotic Damage (Increased),Necrotic,Prefix,,,6,"Acolyte,Non-Specific",0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Damage Type,30,Physical Damage,Physical Damage (Increased),Physical,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Damage Type,61,Poison Damage,Poison Damage (Increased),"Damaging Ailment,Poison,Damage Over Time",Prefix,,,11,,30.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Damage Type,15,Void Damage,Void Damage (Increased),Void,Prefix,,,15,"Sentinel,Non-Specific",40.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Health,25,Health,Health (Added),Health,Suffix,,,1,,0.0,,5 To 15,16 To 25,26 To 40,41 To 60,61 To 90,100 To 130,131 To 180,275 To 325
Belt,Health,52,Health,Health (Increased),Health,Suffix,,,25,,0.0,,3%,4% To 5%,6% To 7%,8% To 9%,10% To 12%,15% To 20%,21% To 26%,40% To 47%
Belt,Health,36,Hybrid Health,"Health (Added)
Health (Increased)",Health,Suffix,,,45,,90.0,,"14 To 21
3%","22 To 29
3%","30 To 37
4%","38 To 45
4%","46 To 68
5%","85 To 105
6% To 7%","106 To 135
8% To 10%","205 To 243
15% To 18%"
Belt,Health Recovery,22,Health Regeneration,Health Regen (Increased),"Health,Regeneration",Suffix,,,1,,0.0,,6% To 17%,18% To 29%,30% To 41%,42% To 53%,54% To 82%,100% To 129%,130% To 162%,260% To 325%
Belt,Mana,330,Mana Regeneration,Mana Regen (Increased),"Mana,Regeneration",Prefix,,,1,,0.0,,10% To 14%,15% To 19%,20% To 24%,25% To 29%,30% To 38%,40% To 49%,50% To 60%,94% To 110%
Belt,Potion,82,Extra Potion Slot And Potion Health,"Potion Slots (Added)
Health Gained On Potion Use (Added)","Health,Potion",Prefix,,,15,,75.0,,"1
15 To 30","1
31 To 52","1
53 To 75","1
76 To 104","1
105 To 150","2
190 To 240","3
241 To 300","5
480 To 600"
Belt,Potion,67,Freeze Rate And Freezing Concoction On Potion Use,"Freeze Rate Multiplier (Added)
Chance To Cast Freezing Concoction On Potion Use (Added)","Potion,Freeze,Negative Ailment,Cold",Prefix,,Freezing Conction,35,,80.0,,"20% To 35%
100%","36% To 60%
100%","61% To 90%
100%","91% To 130%
100%","131% To 180%
100%","230% To 300%
100%","301% To 400%
100%","640% To 800%
160% To 200%"
Belt,Potion,65,Increased Chance To Find Potions,Increased Chance To Find Potions (Added),Potion,Prefix,,,5,,70.0,,12% To 22%,23% To 31%,32% To 40%,41% To 49%,50% To 60%,75% To 99%,100% To 120%,192% To 240%
Belt,Potion,83,Potion Health Converted To Ward,Potion Health Converted To Ward (Added),"Health,Ward,Potion",Prefix,,,35,,80.0,,10% To 14%,15% To 19%,20% To 24%,25% To 29%,30% To 35%,50% To 70%,71% To 100%,100%
Belt,Potion,75,Ward And Ailment Cleansing On Potion Use,"Ward Gained On Potion Use (Added)
Chance To Cleanse All Ailments On Potion Use (Added)","Ward,Potion",Prefix,,,31,,75.0,,"20 To 30
100%","31 To 40
100%","51 To 60
100%","61 To 75
100%","76 To 100
100%","130 To 170
100%","171 To 220
100%","440 To 500
100%"
Belt,Potion,66,Ward Gained On Potion Use,Ward Gained On Potion Use (Added),"Ward,Potion",Prefix,,,10,"Mage,Acolyte,Rogue,Non-Specific",60.0,,20 To 30,31 To 45,46 To 60,65 To 80,81 To 110,150 To 185,186 To 250,400 To 500
Belt,Resistance and Armor,17,Cold Resistance,Cold Resistance (Added),"Resistance,Cold",Suffix,,,8,,30.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Resistance and Armor,80,Elemental Resistance,Elemental Resistance (Added),"Resistance,Elemental",Suffix,,,27,,30.0,,4% To 5%,6% To 8%,9% To 11%,12% To 15%,16% To 20%,24% To 30%,31% To 40%,64% To 75%
Belt,Resistance and Armor,92,Endurance,Endurance (Added),Endurance,Suffix,,,19,,15.0,,3% To 4%,5% To 6%,7% To 8%,9% To 10%,11% To 15%,20% To 26%,27% To 35%,56% To 70%
Belt,Resistance and Armor,425,Endurance Threshold,Endurance Threshold (Added),Endurance,Suffix,,,24,,15.0,,20 To 26,27 To 35,36 To 45,46 To 59,60 To 80,110 To 150,151 To 200,320 To 400
Belt,Resistance and Armor,13,Fire Resistance,Fire Resistance (Added),"Resistance,Fire",Suffix,,,1,,30.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Resistance and Armor,24,Lightning Resistance,Lightning Resistance (Added),"Resistance,Lightning",Suffix,,,1,,30.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Resistance and Armor,10,Necrotic Resistance,Necrotic Resistance (Added),"Resistance,Necrotic",Suffix,,,19,,0.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Resistance and Armor,45,Physical Resistance,Physical Resistance (Added),"Resistance,Physical",Suffix,,,1,,0.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Resistance and Armor,19,Poison Resistance,Poison Resistance (Added),"Resistance,Damaging Ailment,Poison,Damage Over Time",Suffix,,,10,,0.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Resistance and Armor,7,Void Resistance,Void Resistance (Added),"Resistance,Void",Suffix,,,6,,0.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Belt,Dodge,8,Dodge Rating,Dodge Rating (Added),Dodge,Suffix,,,1,,0.0,,20 To 29,30 To 39,40 To 49,50 To 65,66 To 85,110 To 150,151 To 200,320 To 400
Belt,Dodge,59,Dodge Rating,Dodge Rating (Increased),Dodge,Suffix,,,16,,60.0,,10% To 14%,15% To 19%,20% To 24%,25% To 29%,30% To 38%,55% To 65%,66% To 80%,130% To 160%
Belt,Stun,29,Health And Stun Avoidance,"Health (Added)
Stun Avoidance (Added)","Health,Stun,Negative Ailment",Suffix,,,46,,80.0,,"12 To 17
40 To 65","18 To 26
66 To 100","27 To 35
101 To 180","36 To 44
181 To 250","45 To 60
251 To 350","75 To 99
450 To 550","100 To 130
551 To 750","198 To 234
1200 To 1500"
Belt,Critical Strike Avoidance,715,Armor And Reduced Bonus Damage From Crits,"Armor (Added)
Reduced Bonus Damage Taken From Critical Strikes (Added)","Armour,Damage Reduction,Critical",Suffix,,,40,,60.0,,"24 To 32
8% To 10%","33 To 42
11% To 14%","43 To 55
15% To 19%","56 To 70
20% To 24%","71 To 95
25% To 30%","130 To 170
38% To 45%","171 To 220
46% To 60%","352 To 440
60% To 90%"
Belt,Critical Strike Avoidance,97,Critical Strike Avoidance And Added Dodge Rating,"Critical Strike Avoidance (Added)
Dodge Rating (Added)","Dodge,Damage Avoidance,Critical",Suffix,,,36,,30.0,,"5% To 9%
15 To 24","10% To 14%
25 To 35","15% To 19%
36 To 48","20% To 24%
49 To 61","25% To 37%
62 To 80","46% To 60%
95 To 125","61% To 75%
126 To 170","100%
300 To 360"
Belt,Cooldown,27,Increased Cooldown Recovery Speed,Increased Cooldown Recovery Speed (Added),"Recovery,Cooldown",Suffix,,,6,,0.0,,5% To 6%,7% To 9%,10% To 12%,13% To 15%,16% To 20%,24% To 27%,28% To 32%,45% To 50%
Belt,Minion,26,Minion Damage,Minion Damage (Increased),Minion,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Belt,Minion,70,Minion Health,Minion Health (Increased),"Health,Minion",Prefix,,,6,"Primalist,Acolyte,Non-Specific",40.0,,15% To 35%,36% To 55%,56% To 75%,76% To 100%,101% To 150%,190% To 230%,231% To 300%,500% To 600%
Belt,Minion,73,Minion Health Regen,Minion Health Regen (Added),"Health,Regeneration,Minion",Prefix,,,13,"Primalist,Acolyte,Non-Specific",70.0,,6 To 10,11 To 20,21 To 35,36 To 60,61 To 90,120 To 150,151 To 200,320 To 400
Belt,Personal,768,Spark Champion'S,"Spell Damage (Increased)
Chance For Lightning Blast To Chain 4 Additional Times (Added)","Lightning,Spell",Prefix,,Lightning Blast,1,,0.0,Exclusive To Items Dropped By Champions,"5% To 10%
7% To 9%","11% To 17%
10% To 13%","18% To 27%
14% To 17%","28% To 39%
18% To 21%","40% To 55%
22% To 25%","70% To 89%
27% To 30%","90% To 110%
31% To 35%","176% To 220%
56% To 70%"
Belt,Personal,771,Volcano Champion'S,"Elemental Critical Strike Chance (Increased)
Chance To Cast Fire Aura On Crit (1 Second Cooldown) (Added)","Critical,Cooldown,Fire,Elemental",Prefix,,Fire Aura,1,,0.0,Exclusive To Items Dropped By Champions,"14% To 18%
4%","19% To 23%
5%","24% To 28%
6% To 7%","29% To 33%
8% To 9%","34% To 40%
10% To 11%","50% To 59%
14% To 17%","60% To 70%
18% To 22%","112% To 140%
35% To 44%"
Belt,Experimental,714,Experimental Bee On Potion Use,"Bees Summoned On Potion Use (Added)
Minion Damage (Increased)","Potion,Minion",Prefix,,Summon Bee,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"2
5% To 9%","2
10% To 20%","2
21% To 24%","2
25% To 35%","2
36% To 45%","3
55% To 65%","4
66% To 80%","6
128% To 160%"
Belt,Experimental,712,Experimental Mana On Potion Use,"Mana Gained On Potion Use (Added)
Mana Regen For 4 Seconds When You Use A Potion (Increased)","Mana,Regeneration,Potion",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"8 To 9
10% To 15%","10 To 11
16% To 22%","12 To 13
23% To 30%","14 To 16
31% To 39%","17 To 20
40% To 50%","25 To 29
65% To 80%","30 To 35
81% To 100%","56 To 70
160% To 200%"
Belt,Experimental,713,Experimental Traversal Cooldown Recovery On Potion Use,"Seconds Of Traversal Skill Cooldowns Recovered On Potion Use (Added)
Increased Chance To Find Potions (Added)","Recovery,Potion,Cooldown,Traversal",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"0.5
16% To 20%","0.6
21% To 25%","0.7
26% To 32%","0.8 To 0.9
33% To 40%","1.1 To 1.2
41% To 50%","1.4 To 1.5
70% To 79%","1.6 To 1.8
80% To 100%","2.2 To 2.7
160% To 200%"
Belt,Experimental,711,Experimental Ward On Potion Use,"Ward Decay Threshold (Added)
Ward Gained On Potion Use Per 10 Intelligence (Added)","Attribute,Intelligence,Ward,Potion",Prefix,,,1,,0.0,Exclusive To Items Dropped By Exiled Mages (Rune Prison Encounters),"40 To 50
8 To 9","51 To 67
11 To 13","68 To 90
14 To 16","91 To 120
17 To 19","121 To 160
20 To 25","200 To 245
28 To 34","246 To 310
35 To 45","496 To 620
55 To 68"
Belt,Set,807,Pebbles' Bitemarked Sash Reforged,"Minion Cold Melee Damage (Added)
Cold Resistance (Added)","Resistance,Cold,Melee,Minion",Prefix,,,1,,,An Item With This Affix Counts As A Substitute For Pebbles' Bitemarked Sash For The Purpose Of Getting The Set Bonus,"1
7% To 9%","2
10% To 12%","3
13% To 15%","4
16% To 18%","5
19% To 21%","6 To 7
28% To 34%","8 To 10
35% To 42%","16 To 20
67% To 84%"
Belt,Set,821,Zerrick'S Guile Reforged,"Melee Attack Speed For 4 Seconds When You Use A Potion (Increased)
Throwing Attack Speed For 4 Seconds When You Use A Potion (Increased)","Potion,Melee,Throwing,Attack Speed",Prefix,,,1,,,An Item With This Affix Counts As A Substitute For Zerrick'S Guile For The Purpose Of Getting The Set Bonus,"6% To 7%
6% To 7%","8% To 9%
8% To 9%","10% To 11%
10% To 11%","12% To 13%
12% To 13%","14% To 15%
14% To 15%","20% To 24%
20% To 24%","25% To 30%
25% To 30%","46% To 53%
46% To 53%"
Belt,Set,801,Isadora'S Tomb Binding Reforged,"Armor (Increased)
Increased Necrotic Damage If You Have Been Hit Recently (Added)","Armour,Necrotic",Suffix,,,1,,,An Item With This Affix Counts As A Substitute For Isadora'S Tomb Binding For The Purpose Of Getting The Set Bonus,"6% To 7%
11% To 14%","8% To 9%
15% To 19%","10% To 11%
20% To 25%","12% To 13%
26% To 32%","14% To 15%
33% To 40%","18% To 24%
50% To 63%","25% To 35%
64% To 80%","56% To 70%
128% To 160%"
Ring,Attributes,504,Attunement,Attunement (Added),"Attribute,Attunement",Prefix,,,5,"Primalist,Sentinel,Non-Specific",30.0,,1,2,3 To 4,5 To 6,7 To 8,11 To 13,14 To 16,24 To 28
Ring,Attributes,503,Dexterity,Dexterity (Added),"Attribute,Dexterity",Prefix,,,1,,70.0,,1,2,3 To 4,5 To 6,7 To 8,11 To 13,14 To 16,24 To 28
Ring,Attributes,502,Intelligence,Intelligence (Added),"Attribute,Intelligence",Prefix,,,1,"Mage,Acolyte,Non-Specific",0.0,,1,2,3 To 4,5 To 6,7 To 8,11 To 13,14 To 16,24 To 28
Ring,Attributes,501,Strength,Strength (Added),"Attribute,Strength",Prefix,,,1,"Primalist,Sentinel,Non-Specific",0.0,,1,2,3 To 4,5 To 6,7 To 8,11 To 13,14 To 16,24 To 28
Ring,Throwing,87,Throwing Attack Speed,Throwing Attack Speed (Increased),"Throwing,Attack Speed",Prefix,,,17,,40.0,,5% To 7%,8% To 10%,11% To 14%,15% To 18%,19% To 23%,26% To 30%,31% To 36%,55% To 63%
Ring,Throwing,507,Throwing Damage And Reduced Mana Cost,"Throwing Damage (Added)
Mana Cost For Throwing Skills (Added)","Mana,Throwing",Prefix,,,6,,15.0,,"3 To 4
-3","5 To 6
-3","7 To 8
-3","9 To 10
-3","11 To 13
-3","17 To 21
-4","22 To 26
-5","35 To 40
-7"
Ring,Spell,38,Spell Damage,Spell Damage (Increased),Spell,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,General,5,Critical Strike Chance,Critical Strike Chance (Increased),Critical,Prefix,,,1,,20.0,,15% To 20%,21% To 25%,26% To 30%,31% To 35%,36% To 50%,60% To 75%,76% To 100%,160% To 200%
Ring,General,72,Damage Over Time,Damage Over Time (Increased),Damage Over Time,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,16,Cold Damage,Cold Damage (Increased),Cold,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,9,Elemental Damage,Elemental Damage (Increased),Elemental,Prefix,,,8,,0.0,,5% To 9%,10% To 16%,17% To 24%,25% To 32%,33% To 45%,55% To 70%,71% To 90%,144% To 180%
Ring,Damage Type,100,Elemental Damage Over Time,Elemental Damage Over Time (Increased),"Elemental,Damage Over Time",Prefix,,,50,,70.0,,10% To 20%,21% To 35%,36% To 50%,51% To 70%,71% To 110%,140% To 170%,171% To 220%,352% To 440%
Ring,Damage Type,12,Fire Damage,Fire Damage (Increased),Fire,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,23,Lightning Damage,Lightning Damage (Increased),Lightning,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,18,Necrotic Damage,Necrotic Damage (Increased),Necrotic,Prefix,,,6,"Acolyte,Non-Specific",0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,30,Physical Damage,Physical Damage (Increased),Physical,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,61,Poison Damage,Poison Damage (Increased),"Damaging Ailment,Poison,Damage Over Time",Prefix,,,11,,30.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Damage Type,15,Void Damage,Void Damage (Increased),Void,Prefix,,,15,"Sentinel,Non-Specific",40.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
Ring,Health,825,Added Health And Added Health Regeneration,"Health (Added)
Health Regen (Added)","Health,Regeneration",Suffix,,,1,,90.0,,"14 To 21
1 To 2","22 To 29
3 To 4","30 To 37
5 To 6","38 To 45
7 To 9","46 To 68
10 To 12","85 To 105
15 To 19","106 To 135
20 To 25","205 To 243
40 To 50"
Ring,Health,25,Health,Health (Added),Health,Suffix,,,1,,0.0,,5 To 15,16 To 25,26 To 40,41 To 60,61 To 90,100 To 130,131 To 180,275 To 325
Ring,Health Recovery,43,Increased Healing Effectiveness,Increased Healing Effectiveness (Added),Healing,Prefix,,,15,,0.0,,10% To 18%,19% To 27%,28% To 37%,38% To 47%,48% To 60%,75% To 95%,96% To 120%,200% To 240%
Ring,Health Recovery,22,Health Regeneration,Health Regen (Increased),"Health,Regeneration",Suffix,,,1,,0.0,,6% To 17%,18% To 29%,30% To 41%,42% To 53%,54% To 82%,100% To 129%,130% To 162%,260% To 325%
Ring,Mana,330,Mana Regeneration,Mana Regen (Increased),"Mana,Regeneration",Prefix,,,1,,0.0,,10% To 14%,15% To 19%,20% To 24%,25% To 29%,30% To 38%,40% To 49%,50% To 60%,94% To 110%
Ring,Potion,83,Potion Health Converted To Ward,Potion Health Converted To Ward (Added),"Health,Ward,Potion",Prefix,,,35,,80.0,,10% To 14%,15% To 19%,20% To 24%,25% To 29%,30% To 35%,50% To 70%,71% To 100%,100%
Ring,Resistance and Armor,17,Cold Resistance,Cold Resistance (Added),"Resistance,Cold",Suffix,,,8,,30.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Ring,Resistance and Armor,80,Elemental Resistance,Elemental Resistance (Added),"Resistance,Elemental",Suffix,,,27,,30.0,,4% To 5%,6% To 8%,9% To 11%,12% To 15%,16% To 20%,24% To 30%,31% To 40%,64% To 75%
Ring,Resistance and Armor,92,Endurance,Endurance (Added),Endurance,Suffix,,,19,,15.0,,3% To 4%,5% To 6%,7% To 8%,9% To 10%,11% To 15%,20% To 26%,27% To 35%,56% To 70%
Ring,Resistance and Armor,13,Fire Resistance,Fire Resistance (Added),"Resistance,Fire",Suffix,,,1,,30.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Ring,Resistance and Armor,24,Lightning Resistance,Lightning Resistance (Added),"Resistance,Lightning",Suffix,,,1,,30.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Ring,Resistance and Armor,10,Necrotic Resistance,Necrotic Resistance (Added),"Resistance,Necrotic",Suffix,,,19,,0.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
Ring,Resistance and Armor,45,Physical Resistance,Physical Resistance (Added),"Resistance,Physical",Suffix,,,1,,0.0,,5% To 9%,10% To 14%,15% To 21%,22% To 29%,30% To 45%,50% To 60%,61% To 75%,120% To 150%
