Affix Type,Lvl,Name,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Source File
Prefix,27,Bleed Chance per Equipped Sword,89%,+(31% to 35%),+(36% to 40%),+(41% to 45%),+(46% to 50%),+(51% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_1
Prefix,0,Block Chance,0%,+(2% to 3%),+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 12%),+(15% to 20%),+(21% to 26%),+(33% to 39%),affix_details_1
Suffix,13,Block Chance and Effectiveness,20%,+1% | +(30 to 50),+2% | +(51 to 80),+2% | +(81 to 110),+2% | +(111 to 150),+3% | +(151 to 220),+4% | +(270 to 350),+4% | +(450 to 600),+6% | +(1000 to 1300),affix_details_1
Prefix,0,Block Effectiveness,0%,+(40 to 80),+(81 to 150),+(151 to 240),+(241 to 350),+(351 to 500),+(700 to 1000),+(1001 to 1400),+(2240 to 2800),affix_details_1
Prefix,0,Bloom Tender's | Movement Speed | Poison Resistance,0%,+4% | +(20% to 23%),+5% | +(24% to 27%),+6% | +(28% to 31%),+7% | +(32% to 35%),+8% | +(36% to 42%),+(10% to 12%) | +(50% to 60%),+(13% to 15%) | +(61% to 75%),+(21% to 24%) | +(120% to 150%),affix_details_1
Prefix,0,Boardman's Fallacy Reforged | Minion Lightning Penetration | seconds of Frenzy gained when hit by your Storm Totem,0%,+(1% to 2%) | 3,+(3% to 4%) | 3,+(5% to 6%) | 3,+(7% to 8%) | 3,+(9% to 10%) | 3,+(12% to 15%) | 4,+(16% to 21%) | 5,+(34% to 42%) | (8 to 10),affix_details_1
Prefix,0,Boardman's Legacy Reforged | Damage Taken for Totems | seconds of Haste gained when hit by your Storm Totem,0%,(1% to 2%) | 3,(3% to 4%) | 3,(5% to 6%) | 3,(7% to 8%) | 3,(9% to 10%) | 3,(12% to 15%) | 4,(16% to 21%) | 5,(34% to 42%) | (8 to 10),affix_details_1
Prefix,0,Boardman's Plank Reforged | seconds of Enrage granted to companions hit by your Storm Totem | Chance to summon a Storm Totem on hit with Tempest Strike,0%,(1 to 2) | (10% to 12%),(3 to 4) | (13% to 15%),(5 to 6) | (16% to 18%),(7 to 8) | (19% to 21%),(9 to 10) | (22% to 25%),(12 to 15) | (30% to 39%),(16 to 21) | (40% to 50%),(30 to 36) | (80% to 100%),affix_details_1
Prefix,0,Bow Attack Speed,0%,+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 15%),+(18% to 23%),+(24% to 30%),+(46% to 53%),affix_details_1
Prefix,0,Bow Cold Damage,60%,+(2 to 3),+(4 to 5),+(6 to 7),+(8 to 9),+(10 to 14),+(16 to 22),+(23 to 28),+(38 to 44),affix_details_1
Prefix,0,Bow Damage,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_1
Prefix,27,Bow Elemental Damage,89%,+(26% to 30%),+(31% to 35%),+(36% to 40%),+(41% to 47%),+(48% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_1
Prefix,0,Bow Fire Damage,50%,+(2 to 3),+(4 to 5),+(6 to 7),+(8 to 9),+(10 to 14),+(16 to 22),+(23 to 28),+(38 to 44),affix_details_1
Prefix,8,Bow Lightning Damage,55%,+(2 to 3),+(4 to 5),+(6 to 7),+(8 to 9),+(10 to 14),+(16 to 22),+(23 to 28),+(38 to 44),affix_details_1
Prefix,0,Bow Physical Damage,0%,+(2 to 3),+(4 to 5),+(6 to 7),+(8 to 9),+(10 to 14),+(16 to 22),+(23 to 28),+(38 to 44),affix_details_1
Prefix,0,Carnage Champion's | Spell Damage | Reduced Health Cost of Spells,0%,+4 | (11% to 14%),+5 | (15% to 18%),+6 | (19% to 22%),+7 | (23% to 26%),+(8 to 9) | (27% to 31%),+(11 to 13) | (37% to 46%),+(14 to 18) | (47% to 60%),+(26 to 32) | (70% to 95%),affix_details_1
Prefix,0,Cast Speed,0%,+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 15%),+(18% to 23%),+(24% to 30%),+(46% to 53%),affix_details_1
Prefix,27,Cast Speed for Totems,89%,+(8% to 9%),+(10% to 11%),+(12% to 13%),+(14% to 15%),+(16% to 19%),+(24% to 28%),+(29% to 36%),+(55% to 63%),affix_details_1
Prefix,0,Cave Druid's | Physical Skills | Spell Physical Damage,0%,+1 | +(6 to 7),+1 | +(8 to 9),+1 | +(10 to 12),+1 | +(13 to 15),+1 | +(16 to 18),+1 | +(24 to 27),+1 | +(28 to 32),+2 | +(51 to 64),affix_details_1
Prefix,41,Chance for 3 additional projectiles when you directly cast Chaos Bolts,89%,(7% to 12%),(13% to 18%),(19% to 24%),(25% to 29%),(30% to 35%),(36% to 52%),(53% to 70%),100%,affix_details_1
Prefix,32,Chance to apply a Spark Charge on Melee Hit,89%,+(8% to 10%),+(11% to 13%),+(14% to 16%),+(17% to 19%),+(20% to 24%),+(28% to 34%),+(35% to 44%),+(70% to 85%),affix_details_1
Prefix,34,Chance to apply Damned on Hit,89%,+(40% to 44%),+(45% to 49%),+(50% to 54%),+(55% to 59%),+(60% to 77%),+(95% to 115%),+(116% to 140%),+(224% to 280%),affix_details_1
Suffix,25,Chance to apply Frailty on Hit,0%,+(12% to 15%),+(16% to 19%),+(20% to 23%),+(24% to 27%),+(28% to 35%),+(44% to 55%),+(56% to 70%),+(112% to 140%),affix_details_1
Suffix,25,Chance to apply Frailty on Melee Hit,0%,+(35% to 40%),+(41% to 50%),+(51% to 60%),+(61% to 70%),+(71% to 85%),+(105% to 130%),+(131% to 170%),+(270% to 300%),affix_details_1
Prefix,27,Chance To Apply Frostbite On Hit With Cold Skills,89%,+(40% to 44%),+(45% to 49%),+(50% to 54%),+(55% to 59%),+(60% to 77%),+(95% to 115%),+(116% to 140%),+(224% to 280%),affix_details_1
Suffix,5,Chance to Blind on Hit,80%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+100%,affix_details_1
Prefix,57,Chance to Cast Fire Aura on Critical Strike (1 Second Cooldown),89%,+6%,+7%,+8%,+(9% to 10%),+(11% to 13%),+(16% to 20%),+(21% to 26%),+(42% to 50%),affix_details_1
Prefix,29,Chance To Cast Fire Aura On Kill Fire Skills (1 second cooldown,89%,+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 14%),+(18% to 22%),+(23% to 28%),+(45% to 53%),affix_details_1
Prefix,27,Chance to cast Fire Aura when Hit (1 second cooldown),89%,+6%,+7%,+8%,+(9% to 10%),+(11% to 13%),+(16% to 20%),+(21% to 26%),+(42% to 50%),affix_details_1
Prefix,13,Chance to cast Marrow Shards when you cast Transplant,89%,(5% to 7%),(8% to 15%),(16% to 25%),(26% to 30%),(31% to 40%),(55% to 75%),(76% to 100%),100%,affix_details_1
Suffix,16,Chance to Chill Attackers,50%,(21% to 30%),(31% to 40%),(41% to 55%),(56% to 75%),(76% to 100%),(130% to 170%),(171% to 220%),300%,affix_details_1
Suffix,0,Chance to Chill on Hit,50%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+(104% to 130%),affix_details_1
Prefix,38,Chance to create a Shockwave on Hit with Upheaval,89%,(14% to 19%),(20% to 25%),(26% to 32%),(33% to 39%),(40% to 60%),(76% to 87%),(88% to 100%),100%,affix_details_1
Prefix,27,Chance To Electrify with Lightning Skills,89%,+(30% to 33%),+(34% to 38%),+(40% to 44%),+(45% to 49%),+(50% to 60%),+(80% to 99%),+(100% to 120%),+(192% to 240%),affix_details_1
Prefix,17,Chance to Gain 20 Mana when you directly Cast Runebolt or Fireball,89%,(5% to 6%),(7% to 9%),(10% to 12%),(13% to 15%),(16% to 20%),(25% to 30%),(31% to 38%),(61% to 76%),affix_details_1
Prefix,8,Chance to Gain 20 Ward on Kill with Hungering Souls,89%,+(40% to 44%),+(45% to 49%),+(50% to 54%),+(55% to 59%),+(60% to 77%),+(80% to 89%),+(90% to 100%),+100%,affix_details_1
Prefix,26,Chance to Gain a Storm Stack when you use Gathering Storm and Hit an enemy,89%,(7% to 12%),(13% to 18%),(19% to 24%),(25% to 30%),(31% to 36%),(37% to 49%),(51% to 70%),100%,affix_details_1
Prefix,48,Chance to Gain Crimson Shroud when you use a Melee Attack that Hits,89%,(12% to 15%),(16% to 19%),(20% to 23%),(24% to 28%),(29% to 35%),(44% to 55%),(56% to 70%),100%,affix_details_1
Prefix,43,Chance to Gain Dusk Shroud when Hit,89%,(12% to 16%),(17% to 21%),(22% to 26%),(27% to 32%),(33% to 40%),(50% to 60%),(61% to 80%),100%,affix_details_1
Prefix,36,Chance to Gain Dusk Shroud when you use a Melee Attack that Hits,89%,+(17% to 21%),+(22% to 26%),+(27% to 31%),+(32% to 36%),+(37% to 45%),+(55% to 70%),+(71% to 90%),+100%,affix_details_1
Prefix,43,Chance to Gain Lightning Aegis when Hit,89%,+6%,+7%,+8%,+(9% to 10%),+(11% to 13%),+(16% to 20%),+(21% to 26%),+(42% to 52%),affix_details_1
Prefix,55,Chance to Ignite on Bow Hit,89%,+(15% to 17%),+(18% to 20%),+(21% to 24%),+(25% to 28%),+(29% to 35%),+(44% to 55%),+(56% to 70%),+(112% to 140%),affix_details_1
Prefix,41,Chance to Ignite on Fire Hit,89%,+(40% to 44%),+(45% to 49%),+(50% to 54%),+(55% to 59%),+(60% to 77%),+(95% to 115%),+(116% to 140%),+(224% to 280%),affix_details_1
Suffix,0,Chance to Ignite on Hit,50%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+(104% to 130%),affix_details_1
Prefix,41,Chance to Inflict Bleed if Wielding an Axe,89%,+(20% to 23%),+(24% to 27%),+(28% to 31%),+(32% to 35%),+(36% to 43%),+(50% to 60%),+(61% to 80%),+(128% to 160%),affix_details_1
Prefix,27,Chance to Inflict Bleed On Bow Hit,89%,+(15% to 17%),+(18% to 20%),+(21% to 24%),+(25% to 28%),+(29% to 35%),+(44% to 55%),+(56% to 70%),+(112% to 140%),affix_details_1
Suffix,0,Chance to Inflict Bleed On Hit,30%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+(104% to 130%),affix_details_1
Prefix,14,Chance to Inflict Bleed on Hit with Shurikens,89%,+(15% to 17%),+(19% to 22%),+(23% to 27%),+(28% to 32%),+(33% to 40%),+(50% to 60%),+(61% to 80%),+(128% to 160%),affix_details_1
Prefix,27,Chance To Inflict Time Rot on hit with Void Skills,89%,+13%,+(15% to 16%),+(17% to 18%),+(19% to 21%),+(22% to 25%),+(50% to 54%),+(55% to 60%),+(96% to 120%),affix_details_1
Suffix,13,Chance to Poison on Hit,50%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+(104% to 130%),affix_details_1
Suffix,33,Chance to Shock Attackers,60%,(21% to 30%),(31% to 40%),(41% to 55%),(56% to 75%),(76% to 100%),(130% to 170%),(171% to 220%),(352% to 440%),affix_details_1
Suffix,20,Chance to Shock on Hit,50%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+(104% to 130%),affix_details_1
Prefix,41,Chance to Shock on Hit with Lightning Skills,89%,+(40% to 44%),+(45% to 49%),+(50% to 54%),+(55% to 59%),+(60% to 77%),+(95% to 115%),+(116% to 140%),+(224% to 280%),affix_details_1
Prefix,27,Chance to Shred Armor on Bow Hit,89%,+(31% to 40%),+(41% to 50%),+(51% to 60%),+(61% to 75%),+(76% to 100%),+(135% to 180%),+(181% to 240%),+(384% to 480%),affix_details_1
Suffix,27,Chance to Shred Armor on Hit,50%,+(20% to 30%),+(31% to 40%),+(41% to 55%),+(56% to 70%),+(71% to 100%),+(125% to 150%),+(151% to 200%),+(320% to 400%),affix_details_1
Prefix,50,Chance to Shred Armor on Melee Hit,89%,+(31% to 40%),+(41% to 50%),+(51% to 60%),+(61% to 75%),+(76% to 100%),+(135% to 180%),+(181% to 240%),+(384% to 480%),affix_details_1
Prefix,50,Chance to Shred Armor on Throwing Hit,89%,+(31% to 40%),+(41% to 50%),+(51% to 60%),+(61% to 75%),+(76% to 100%),+(135% to 180%),+(181% to 240%),+(384% to 480%),affix_details_1
Suffix,16,Chance to Slow Attackers,50%,(21% to 30%),(31% to 40%),(41% to 55%),(56% to 75%),(76% to 100%),(130% to 170%),(171% to 220%),300%,affix_details_1
Prefix,57,Chance to Slow on Bow Hit,89%,+(15% to 17%),+(18% to 20%),+(21% to 24%),+(25% to 28%),+(29% to 35%),+(44% to 55%),+(56% to 70%),+(112% to 140%),affix_details_1
Suffix,0,Chance to Slow on Hit,75%,+(10% to 12%),+(13% to 16%),+(17% to 20%),+(20% to 23%),+(24% to 30%),+(40% to 49%),+(50% to 65%),+(104% to 130%),affix_details_1
Prefix,36,Channel Cost,89%,(12% to 15%),(16% to 19%),(20% to 23%),(24% to 27%),(28% to 32%),(36% to 40%),(41% to 45%),(60% to 68%),affix_details_1
Prefix,0,Cold Damage,50%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_1
Prefix,25,Cold Damage Over Time,89%,+(40% to 45%),+(46% to 51%),+(52% to 57%),+(58% to 63%),+(64% to 75%),+(90% to 110%),+(111% to 140%),+(224% to 280%),affix_details_1
Prefix,42,Cold Penetration,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%),affix_details_1
Suffix,60,Cold Penetration and Minion Cold Penetration,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%),affix_details_1
Prefix,34,Cold Penetration with Frostbite,89%,(20% to 21%),(22% to 23%),(24% to 25%),(26% to 28%),(29% to 40%),(50% to 60%),(61% to 80%),(128% to 160%),affix_details_1
Suffix,8,Cold Resistance,30%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%),affix_details_1
Prefix,0,Corsair's Blood Cowl Reforged | Increased Bleed Duration | Block Effectiveness,0%,(6% to 7%) | +(6% to 7%),(8% to 9%) | +(8% to 9%),(10% to 12%) | +(10% to 12%),(13% to 15%) | +(13% to 15%),(16% to 18%) | +(16% to 18%),(25% to 29%) | +(25% to 29%),(30% to 35%) | +(30% to 35%),(56% to 70%) | +(45% to 52%),affix_details_1
Prefix,0,Corsair's Boarding Shield Reforged | Block Effectiveness | Dexterity,0%,+(100 to 109) | +1,+(110 to 139) | +2,+(140 to 179) | +3,+(180 to 239) | +4,+(240 to 300) | +5,+(500 to 549) | +(7 to 8),+(550 to 600) | +(9 to 10),+(960 to 1200) | +(13 to 15),affix_details_1
Prefix,44,Crit Chance and Bow Attack Speed,60%,+1% | +(3% to 4%),+2% | +(5% to 6%),+3% | +(7% to 8%),+4% | +(9% to 11%),+5% | +(12% to 15%),+(7% to 8%) | +(19% to 21%),+(9% to 10%) | +(22% to 25%),+(14% to 16%) | +(38% to 44%),affix_details_1
Suffix,36,Critical Strike Avoidance and Added Dodge Rating,30%,+(5% to 9%) | +(15 to 24),+(10% to 14%) | +(25 to 35),+(15% to 19%) | +(36 to 48),+(20% to 24%) | +(49 to 61),+(25% to 37%) | +(62 to 80),+(46% to 60%) | +(95 to 125),+(61% to 75%) | +(126 to 170),+100% | +(300 to 360),affix_details_1
Prefix,0,Critical Strike Chance,20%,+(15% to 20%),+(21% to 25%),+(26% to 30%),+(31% to 35%),+(36% to 50%),+(60% to 75%),+(76% to 100%),+(160% to 200%),affix_details_1
Prefix,25,Critical Strike Chance For Skeletons And Skeletal Mages,89%,+1%+1%,+2%+2%,+3%+2%,+3%+3%,+(4% to 5%) | +(4% to 5%),+(7% to 8%) | +(7% to 8%),+(9% to 10%) | +(9% to 10%),+(16% to 18%) | +(16% to 18%),affix_details_1
Prefix,42,Critical Strike Chance with Rampage,89%,+3%,+4%,+5%,+6%,+(7% to 8%),+(10% to 11%),+(12% to 15%),+(24% to 30%),affix_details_1
Prefix,20,Critical Strike Multiplier,40%,+(7% to 9%),+(10% to 12%),+(13% to 16%),+(17% to 20%),+(21% to 25%),+(32% to 40%),+(41% to 50%),+(80% to 100%),affix_details_1
Prefix,48,Critical Strike Multiplier While Transformed,89%,+15%,+(16% to 17%),+(18% to 20%),+(21% to 23%),+(24% to 29%),+(36% to 44%),+(45% to 55%),+(88% to 110%),affix_details_1
Prefix,0,Cursed | to 75% less Damage depending on Area Level for You and your Minions | to 200% more Damage Taken depending on Area Level for You and your Minions,0%,11,11,11,11,11,12,12,(1 to 1) | (3 to 3),affix_details_1
Prefix,48,Damage and Area with Dive Bomb,89%,(25% to 27%) | (9% to 13%),(28% to 30%) | (14% to 17%),(31% to 33%) | (18% to 21%),(34% to 36%) | (22% to 23%),(37% to 50%) | (24% to 27%),(60% to 75%) | (28% to 39%),(76% to 100%) | (40% to 52%),(160% to 200%) | (83% to 104%),affix_details_1
Prefix,40,Damage Dealt to Mana Before Health,85%,+4%,+5%,+6%,+7%,+(8% to 10%),+(12% to 15%),+(16% to 20%),+(32% to 40%),affix_details_1
Prefix,27,Damage Leeched as Health While Transformed,89%,+(1.2% to 1.6%),+(1.7% to 2.1%),+(2.2% to 2.6%),+(2.7% to 3.1%),+(3.2% to 4%),+(4.8% to 6%),+(6.1% to 7.5%),+(12% to 15%),affix_details_1
Prefix,0,Damage Over Time,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_1
Prefix,40,Level of Runebolt,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,20,Level of Runic Invocation,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,30,Level of Sacrifice,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,22,Level of Serpent Strike,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,25,Level of Shadow Cascade,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,25,Level of Shatter Strike,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,8,Level of Shield Bash,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,12,Level of Shield Rush,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,17,Level of Shield Throw,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,4,Level of Shift,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120),affix_details_4
Prefix,4,Level of Shurikens,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,50,Level of Smelter's Wrath,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,22,Level of Smite,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,7,Level of Smoke Bomb,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120),affix_details_4
Prefix,4,Level of Snap Freeze,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80),affix_details_4
Prefix,35,Level of Soul Feast,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,17,Level of Spirit Plague,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,35,Level of Spriggan Form,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,40,Level of Static,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,4,Level of Static Orb,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,25,Level of Summon Bear,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,12,Level of Summon Bone Golem,86%,+1 | +(10 to 30),+1 | +(31 to 80),+1 | +(81 to 160),+1 | +(161 to 320),+2 | +(321 to 500),+3 | +(800 to 1200),+4 | +(1201 to 2000),+6 | +(3200 to 4000),affix_details_4
Prefix,35,Level of Summon Frenzy Totem,86%,+1 | +(10% to 20%),+1 | +(21% to 40%),+1 | +(41% to 60%),+1 | +(61% to 80%),+2 | +(81% to 120%),+3 | +(142% to 160%),+4 | +(161% to 200%),+6 | +(350% to 400%),affix_details_4
Prefix,25,Level of Summon Raptor,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,12,Level of Summon Sabertooth,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,30,Level of Summon Scorpion,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,25,Level of Summon Skeletal Mage,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,4,Level of Summon Skeleton,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,30,Level of Summon Spriggan,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,20,Level of Summon Storm Crow,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,25,Level of Summon Storm Totem,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,4,Level of Summon Thorn Totem,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,20,Level of Summon Volatile Zombie,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,4,Level of Summon Wolf,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
Prefix,25,Level of Summon Wraith,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_4
Prefix,55,Level of Surge,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_4
